Date,Adj Close,Close,High,Low,Open,Volume
04-11-2025,1489.584717,1529.099976,1541.900024,1525,1536.400024,1666863
06-11-2025,1486.954468,1526.400024,1531.900024,1514.300049,1529.099976,2474769
07-11-2025,1473.316284,1512.400024,1518.800049,1490.5,1515.099976,2238714
10-11-2025,1500.690186,1540.5,1544.900024,1511.400024,1518,1558896
11-11-2025,1529.427734,1570,1572.5,1541.199951,1547.800049,2270763
12-11-2025,1552.807495,1594,1600,1573.5,1575,2331564
13-11-2025,1557.191284,1598.5,1605,1580,1599.400024,1944022
14-11-2025,1553.391968,1594.599976,1598,1574.099976,1590,2543918
17-11-2025,1564.887085,1606.400024,1607.699951,1585.5,1594,2000978
18-11-2025,1553.97644,1595.199951,1604,1590.099976,1604,1640123
19-11-2025,1619.634766,1662.599976,1669.5,1588.599976,1595.300049,6342672
20-11-2025,1602.879272,1645.400024,1668.400024,1642.599976,1662.599976,2724035
21-11-2025,1566.445679,1608,1643.5,1606,1636,2958835
24-11-2025,1568.783813,1610.400024,1640,1602.900024,1614.300049,6392688
25-11-2025,1559.723999,1601.099976,1618.900024,1592.599976,1618.300049,2285950
26-11-2025,1576.089966,1617.900024,1627.5,1601.099976,1601.099976,1243303
27-11-2025,1586.902954,1629,1633.199951,1614,1619.099976,2106176
28-11-2025,1582.227051,1624.199951,1636.900024,1619,1629,1841289
01-12-2025,1600.443848,1642.900024,1646.5,1628,1630,2034350
02-12-2025,1593.235107,1635.5,1652.900024,1624,1651,2326220
03-12-2025,1598.105957,1640.5,1654.599976,1628.800049,1635.5,2371611
04-12-2025,1611.841431,1654.599976,1672,1645.099976,1650,3935708
05-12-2025,1639.507568,1683,1691,1651,1662.699951,3391204
08-12-2025,1644.962891,1688.599976,1695.400024,1676.900024,1683,2702407
09-12-2025,1614.763916,1657.599976,1687,1656.400024,1687,2817704
10-12-2025,1622.946777,1666,1671,1657,1663.300049,1482249
11-12-2025,1629.181519,1672.400024,1677.400024,1649,1667.5,1408684
